Date,Open,High,Low,Close,Adj Close,Volume,Log_Return,Return_Label
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.119849,21660800,,0
1981-01-05,0.151228,0.151228,0.15067,0.15067,0.117244,35728000,-0.021977463887015842,-1
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.112032,45158400,-0.04546623281751904,-1
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.107256,55686400,-0.043568464374719916,-1
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.105085,39827200,-0.020449261392408283,-1
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.11073,21504000,0.05232242143567769,1
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.109861,23699200,-0.00787355645390494,0
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.105953,23049600,-0.03621891211140533,-1
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.106388,14291200,0.004089715462827624,0
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.108559,14067200,0.020201390747631526,1
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.10769,13395200,-0.008031651439601512,0
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.114203,41574400,0.058721576945584386,1
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.11073,30083200,-0.03088856315113197,-1
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.112901,15904000,0.01941686956585323,1
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.114203,35548800,0.011471693585278652,1
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.113769,11222400,-0.0038092943580765744,0
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.112032,24640000,-0.015383964461604996,-1
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.111164,23699200,-0.007781652069354196,0
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.10769,28156800,-0.03174666605654876,-1
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.103782,43904000,-0.036962745325514426,-1
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098137,46188800,-0.0559326001965553,-1
1981-02-02,0.11942,0.11942,0.118862,0.118862,0.092492,23766400,-0.05923896203216186,-1
1981-02-03,0.123326,0.123884,0.123326,0.123326,0.095966,19152000,0.036868099427373686,1
1981-02-04,0.12779,0.128348,0.12779,0.12779,0.09944,27865600,0.03555703587769448,1
1981-02-05,0.12779,0.128906,0.12779,0.12779,0.09944,7929600,0.0,0
1981-02-06,0.128348,0.128906,0.128348,0.128348,0.099874,13865600,0.004357033183233583,0
1981-02-09,0.122768,0.122768,0.121652,0.121652,0.094663,16755200,-0.05358081510115662,-1
1981-02-10,0.121652,0.12221,0.121652,0.121652,0.094663,18345600,0.0,0
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.091624,13843200,-0.03263474765917304,-1
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.090755,14560000,-0.009531805500611251,0
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.088584,11155200,-0.024212787058498067,-1
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.090755,12275200,0.024212787058498105,1
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.094663,19241600,0.042166553159784216,1
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.089018,22310400,-0.06148965487706432,-1
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084242,24371200,-0.05514835052143833,-1
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.085544,14112000,0.015344585007914373,1
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.082505,16979200,-0.03617731065376391,-1
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.087715,19488000,0.06123970319822345,1
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.089018,10841600,0.014741372969064385,1
1981-02-27,0.118304,0.11942,0.118304,0.118304,0.092058,14761600,0.033582727928597,1
1981-03-02,0.118862,0.11942,0.118862,0.118862,0.092492,11760000,0.004705573561322141,0
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.09119,16172800,-0.014183673493249095,-1
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.09032,13708800,-0.009577409988224154,0
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.089886,5376000,-0.004818995093406775,0
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.089018,11603200,-0.009708222915038972,0
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.082071,15321600,-0.0812577839511599,-1
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.078162,28380800,-0.04879680121276191,-1
1981-03-11,0.097656,0.097656,0.09654,0.09654,0.075122,29859200,-0.039662839429355785,-1
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.078162,59248000,0.039662839429355765,1
1981-03-13,0.099888,0.099888,0.09933,0.09933,0.077294,231302400,-0.011172629434438107,-1
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080334,37228800,0.03857967569648625,1
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.084242,43747200,0.04749918838043514,1
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.089452,36937600,0.060014243131713725,1
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.088584,37811200,-0.009755577951493257,0
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.089452,14604800,0.00975557795149336,0
1981-03-23,0.11942,0.120536,0.11942,0.11942,0.092927,22019200,0.038105943682946675,1
1981-03-24,0.11942,0.11942,0.118862,0.118862,0.092492,28156800,-0.004683534803302755,0
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.090755,7056000,-0.018965199772638972,-1
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.089018,12275200,-0.019323101717280126,-1
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.085978,12252800,-0.034740785148683374,-1
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.085978,9900800,0.0,0
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.08511,15993600,-0.010151724999162653,-1
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.084242,34070400,-0.010255840373592399,-1
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.091624,31404800,0.0840032577393297,1
1981-04-03,0.118304,0.118862,0.118304,0.118304,0.092058,16486400,0.004727820710705622,0
1981-04-06,0.116629,0.116629,0.116071,0.116071,0.09032,22803200,-0.019055509920151197,-1
1981-04-07,0.115513,0.115513,0.114955,0.114955,0.089452,10684800,-0.009661325398170505,0
1981-04-08,0.120536,0.121652,0.120536,0.120536,0.093795,21952000,0.047407716063087565,1
1981-04-09,0.122768,0.123326,0.122768,0.122768,0.095532,12499200,0.018347931936322018,1
1981-04-10,0.124442,0.125,0.124442,0.124442,0.096834,33465600,0.01354334846754499,1
1981-04-13,0.124442,0.125,0.124442,0.124442,0.096834,16060800,0.0,0
1981-04-14,0.124442,0.125,0.124442,0.124442,0.096834,6652800,0.0,0
1981-04-15,0.118862,0.118862,0.118304,0.118304,0.092058,34048000,-0.05058216114863301,-1
1981-04-16,0.112165,0.112165,0.111607,0.111607,0.086847,23878400,-0.058273810759742695,-1
1981-04-20,0.114955,0.115513,0.114955,0.114955,0.089452,35347200,0.029556975441420927,1
1981-04-21,0.122768,0.123326,0.122768,0.122768,0.095532,28537600,0.06575564799940974,1
1981-04-22,0.127232,0.12779,0.127232,0.127232,0.099005,18995200,0.03571579615874482,1
1981-04-23,0.13058,0.131138,0.13058,0.13058,0.101611,58016000,0.02597387416443329,1
1981-04-24,0.13058,0.13058,0.129464,0.129464,0.100742,35056000,-0.00858321554390321,0
1981-04-27,0.128906,0.128906,0.128348,0.128348,0.099874,38528000,-0.008657525410738838,0
1981-04-28,0.126674,0.126674,0.126116,0.126116,0.098137,32188800,-0.017543206456140076,-1
1981-04-29,0.125,0.125,0.124442,0.124442,0.096834,13641600,-0.013362374444850913,-1
1981-04-30,0.126674,0.12779,0.126674,0.126674,0.098571,12611200,0.017777113210473906,1
1981-05-01,0.126674,0.12779,0.126674,0.126674,0.098571,16553600,0.0,0
1981-05-04,0.126674,0.126674,0.126116,0.126116,0.098137,14448000,-0.004414738765622951,0
1981-05-05,0.126116,0.126116,0.125558,0.125558,0.097703,17539200,-0.004434315140508839,0
1981-05-06,0.122768,0.122768,0.12221,0.12221,0.095098,18950400,-0.027026926757287382,-1
1981-05-07,0.123884,0.124442,0.123884,0.123884,0.0964,9363200,0.01360476744604189,1
1981-05-08,0.125,0.125558,0.125,0.125,0.097269,7907200,0.008968093406350108,0
1981-05-11,0.122768,0.122768,0.12221,0.12221,0.095098,11939200,-0.02257286085239196,-1
1981-05-12,0.12221,0.123884,0.12221,0.12221,0.095098,4256000,0.0,0
1981-05-13,0.12221,0.123326,0.121652,0.121652,0.094663,4905600,-0.004576366747220397,0
1981-05-14,0.121094,0.121094,0.119978,0.119978,0.093361,4928000,-0.013856117061585954,-1
